award,doi,asset_id
OPP-1248097,https://doi.org/10.3847/2041-8213/ac65eb,9924150854501921
89233218CNA000001,https://doi.org/10.3847/2041-8213/ac65eb,9924150854501921
11725312,https://doi.org/10.3847/2041-8213/ac65eb,9924150854501921
OPP-1852617,https://doi.org/10.3847/2041-8213/ac6584,9924150854801921
12192220,https://doi.org/10.3847/2041-8213/ac65eb,9924150854501921
TG-AST080026N,https://doi.org/10.3847/2041-8213/ac6584,9924150854801921
11933007,https://doi.org/10.3847/2041-8213/ac6615,9924150855201921
OPP-1852617,https://doi.org/10.3847/2041-8213/ac6615,9924150855201921
11991053,https://doi.org/10.3847/2041-8213/ac6615,9924150855201921
HST-HF2-51431.001-A,https://doi.org/10.3847/2041-8213/ac6615,9924150855201921
11991052,https://doi.org/10.3847/2041-8213/ac6615,9924150855201921
11650110427,https://doi.org/10.3847/2041-8213/ac6615,9924150855201921
TG-AST080026N,https://doi.org/10.3847/2041-8213/ac6615,9924150855201921
89233218CNA000001,https://doi.org/10.3847/2041-8213/ac6615,9924150855201921
OPP-1248097,https://doi.org/10.3847/2041-8213/ac6615,9924150855201921
11725312,https://doi.org/10.3847/2041-8213/ac6615,9924150855201921
2011486,https://doi.org/10.7554/elife.68424,9924050518801921
NSF-MRSEC-2011486,https://doi.org/10.1103/physrevlett.125.178003,9924552848301921
2011486,https://doi.org/10.1103/physrevlett.125.178003,9924552848301921
2018-2022,https://doi.org/10.1103/physrevlett.124.101102,9924588847201921
AYA2015-71825,https://doi.org/10.1103/physrevlett.124.101102,9924588847201921
FPA2015-68048,https://doi.org/10.1103/physrevlett.124.101102,9924588847201921
L. 232/2016,https://doi.org/10.1103/physrevlett.124.101102,9924588847201921
NSF-MRSEC-2011486,https://doi.org/10.1103/physreve.104.034601,9924147748501921
FPA2015-68048,https://doi.org/10.1093/mnras/stab978,9924552855501921
AYA2015-71825,https://doi.org/10.1093/mnras/stab978,9924552855501921
FP7/2007-2013,https://doi.org/10.1093/mnras/stab978,9924552855501921
FP7/2007-2013,https://doi.org/10.1103/physrevlett.124.101102,9924588847201921
12192223,https://doi.org/10.3847/1538-4357/acaea8,9924202787401921
11933007,https://doi.org/10.3847/1538-4357/acaea8,9924202787401921
OPP-1852617,https://doi.org/10.3847/1538-4357/acaea8,9924202787401921
HST-HF2-51431.001-A,https://doi.org/10.3847/1538-4357/acaea8,9924202787401921
11991052,https://doi.org/10.3847/1538-4357/acaea8,9924202787401921
TG-AST080026N,https://doi.org/10.3847/1538-4357/acaea8,9924202787401921
11650110427,https://doi.org/10.3847/1538-4357/acaea8,9924202787401921
10625314,https://doi.org/10.3847/1538-4357/acaea8,9924202787401921
89233218CNA000001,https://doi.org/10.3847/1538-4357/acaea8,9924202787401921
11725312,https://doi.org/10.3847/1538-4357/acaea8,9924202787401921
OPP-1248097,https://doi.org/10.3847/1538-4357/acaea8,9924202787401921
12192220,https://doi.org/10.3847/1538-4357/acaea8,9924202787401921
FPA2015-68048,https://doi.org/10.1093/mnras/stz619,9924552842901921
AYA2015-71825,https://doi.org/10.1093/mnras/stz619,9924552842901921
FPA2015-68048,https://doi.org/10.1093/mnras/staa1980,9924552851201921
AYA2015-71825,https://doi.org/10.1093/mnras/staa1980,9924552851201921
FP7/2007-2013,https://doi.org/10.1093/mnras/staa1980,9924552851201921
OPP-1852617,https://doi.org/10.3847/1538-4357/acc586,9924275480701921
FP7/2007-2013,https://doi.org/10.1093/mnras/stz619,9924552842901921
TG-AST080026N,https://doi.org/10.3847/1538-4357/acc586,9924275480701921
89233218CNA000001,https://doi.org/10.3847/1538-4357/acc586,9924275480701921
165518,https://doi.org/10.1093/genetics/iyac143,9924160587601921
DMR-2011486,https://doi.org/10.1016/j.jbc.2023.105367,9924293187401921
2011486,https://doi.org/10.1016/j.jbc.2023.105367,9924293187401921
CAREER,https://doi.org/10.1038/s41467-022-34089-9,9924170387701921
IBN180002,https://doi.org/10.7554/elife.65766,9924144209301921
11633006,https://doi.org/10.3847/1538-4357/ac332e,9924159787001921
11933007,https://doi.org/10.3847/1538-4357/ac332e,9924159787001921
11991053,https://doi.org/10.3847/1538-4357/ac332e,9924159787001921
11573051,https://doi.org/10.3847/1538-4357/ac332e,9924159787001921
11991052,https://doi.org/10.3847/1538-4357/ac332e,9924159787001921
11721303,https://doi.org/10.3847/1538-4357/ac332e,9924159787001921
11650110427,https://doi.org/10.3847/1538-4357/ac332e,9924159787001921
10625314,https://doi.org/10.3847/1538-4357/ac332e,9924159787001921
89233218CNA000001,https://doi.org/10.3847/1538-4357/ac332e,9924159787001921
11725312,https://doi.org/10.3847/1538-4357/ac332e,9924159787001921
OPP-1248097,https://doi.org/10.3847/1538-4357/ac332e,9924159787001921
AST-1555365,https://doi.org/10.3847/1538-4357/ac332e,9924159787001921
TG-MCB090163,https://doi.org/10.1073/pnas.2312775121,9924330971101921
CAREER,https://doi.org/10.1021/acsmaterialsau.3c00069,9924288451801921
CAREER,https://doi.org/10.1002/anie.202311601,9924292791201921
MCB090163,https://doi.org/10.1039/d2sm00679k,9924150868001921
TG-MCB090163,https://doi.org/10.1039/d2sm00679k,9924150868001921
CAREER,https://doi.org/10.1073/pnas.2300174121,9924319473001921
AYA2015-71825,https://doi.org/10.1093/mnras/staa1452,9924552851601921
FPA2015-68048,https://doi.org/10.1093/mnras/staa1452,9924552851601921
DEB‐1518359,https://doi.org/10.1111/conl.12920,9924550652401921
FP7/2007-2013,https://doi.org/10.1093/mnras/staa1452,9924552851601921
CAREER,https://doi.org/10.1039/d4sc05374e,9924404071301921
2017219379,https://doi.org/10.1111/mmi.14393,9923972816801921
G-22-63292,https://doi.org/10.1016/j.devcel.2024.07.006,9924383262401921
12192223,https://doi.org/10.3847/1538-4357/acf4f2,9924311878701921
11933007,https://doi.org/10.3847/1538-4357/acf4f2,9924311878701921
OPP-1852617,https://doi.org/10.3847/1538-4357/acf4f2,9924311878701921
11991053,https://doi.org/10.3847/1538-4357/acf4f2,9924311878701921
HST-HF2-51431.001-A,https://doi.org/10.3847/1538-4357/acf4f2,9924311878701921
11991052,https://doi.org/10.3847/1538-4357/acf4f2,9924311878701921
11721303,https://doi.org/10.3847/1538-4357/acf4f2,9924311878701921
11650110427,https://doi.org/10.3847/1538-4357/acf4f2,9924311878701921
89233218CNA000001,https://doi.org/10.3847/1538-4357/acf4f2,9924311878701921
10625314,https://doi.org/10.3847/1538-4357/acf4f2,9924311878701921
11725312,https://doi.org/10.3847/1538-4357/acf4f2,9924311878701921
OPP-1248097,https://doi.org/10.3847/1538-4357/acf4f2,9924311878701921
AST-1555365,https://doi.org/10.3847/1538-4357/acf4f2,9924311878701921
12192220,https://doi.org/10.3847/1538-4357/acf4f2,9924311878701921
CAREER,https://doi.org/10.1039/d4ta05282j,9924393079501921
75N91019D00024,https://doi.org/10.1021/jacs.4c06775,9924393079601921
MCB090163,https://doi.org/10.1039/d4sm00547c,9924389907201921
TG-MCB090163,https://doi.org/10.1039/d4sm00547c,9924389907201921
OPP-1852617,https://doi.org/10.3847/2041-8213/acff6f,9924301125901921
12192223,https://doi.org/10.3847/2041-8213/acff6f,9924301125901921
11933007,https://doi.org/10.3847/2041-8213/acff6f,9924301125901921
11991053,https://doi.org/10.3847/2041-8213/acff6f,9924301125901921
100010434,https://doi.org/10.3847/2041-8213/acff6f,9924301125901921
11991052,https://doi.org/10.3847/2041-8213/acff6f,9924301125901921
TG-AST080026N,https://doi.org/10.3847/2041-8213/acff6f,9924301125901921
FB210003,https://doi.org/10.3847/2041-8213/acff6f,9924301125901921
11650110427,https://doi.org/10.3847/2041-8213/acff6f,9924301125901921
10625314,https://doi.org/10.3847/2041-8213/acff6f,9924301125901921
89233218CNA000001,https://doi.org/10.3847/2041-8213/acff6f,9924301125901921
11725312,https://doi.org/10.3847/2041-8213/acff6f,9924301125901921
12192220,https://doi.org/10.3847/2041-8213/acff6f,9924301125901921
597491,https://doi.org/10.1177/07487304241273182,9924550660301921
MCB090163,https://doi.org/10.1371/journal.pcbi.1006602,9924552839101921
DMR 120778,https://doi.org/10.1103/physreve.97.040901,9924086738901921
SC005336,https://doi.org/10.1016/j.astropartphys.2019.102391,9924086649601921
AYA2015-71825,https://doi.org/10.1093/mnras/sty3305,9924552835801921
FPA2015-68048,https://doi.org/10.1093/mnras/staa2563,9924552850901921
AYA2015-71825,https://doi.org/10.1093/mnras/staa2563,9924552850901921
FP7/2007-2013,https://doi.org/10.1093/mnras/staa2563,9924552850901921
FPA2015-68048,https://doi.org/10.1093/mnras/sty3305,9924552835801921
FP7/2007-2013,https://doi.org/10.1093/mnras/sty3305,9924552835801921
FPA2015-68048,https://doi.org/10.1093/mnras/staa2133,9924552851001921
AYA2015-71825,https://doi.org/10.1093/mnras/staa2133,9924552851001921
FP7/2007-2013,https://doi.org/10.1093/mnras/staa2133,9924552851001921
CAREER,https://doi.org/10.1038/s43246-024-00539-8,9924382087401921
XSEDE/ACCESS allocation MCB090163,https://doi.org/10.1039/d3sm00477e,9924275485601921
MCB090163,https://doi.org/10.1209/0295-5075/acfab9,9924288387501921
AYA2015-71825,https://doi.org/10.1093/mnras/staa1852,9924552851301921
FPA2015-68048,https://doi.org/10.1093/mnras/staa1852,9924552851301921
FP7/2007-2013,https://doi.org/10.1093/mnras/staa1852,9924552851301921
